"133.45206871/38.294637095","133.461369705/38.294637095","133.4706707/38.294637095","133.479971695/38.294637095","133.48927269/38.294637095","133.498573685/38.294637095","133.50787468/38.294637095","133.517175675/38.294637095","133.52647667/38.294637095","133.535777665/38.294637095","133.54507866/38.294637095","133.554379655/38.294637095","133.56368065/38.294637095","133.572981645/38.294637095","133.58228264/38.294637095","133.591583635/38.294637095","133.60088463/38.294637095","133.610185625/38.294637095","133.61948662/38.294637095","133.628787615/38.294637095"
"133.45206871/38.288154455","133.461369705/38.288154455","133.4706707/38.288154455","133.479971695/38.288154455","133.48927269/38.288154455","133.498573685/38.288154455","133.50787468/38.288154455","133.517175675/38.288154455","133.52647667/38.288154455","133.535777665/38.288154455","133.54507866/38.288154455","133.554379655/38.288154455","133.56368065/38.288154455","133.572981645/38.288154455","133.58228264/38.288154455","133.591583635/38.288154455","133.60088463/38.288154455","133.610185625/38.288154455","133.61948662/38.288154455","133.628787615/38.288154455"
"133.45206871/38.28167124","133.461369705/38.28167124","133.4706707/38.28167124","133.479971695/38.28167124","133.48927269/38.28167124","133.498573685/38.28167124","133.50787468/38.28167124","133.517175675/38.28167124","133.52647667/38.28167124","133.535777665/38.28167124","133.54507866/38.28167124","133.554379655/38.28167124","133.56368065/38.28167124","133.572981645/38.28167124","133.58228264/38.28167124","133.591583635/38.28167124","133.60088463/38.28167124","133.610185625/38.28167124","133.61948662/38.28167124","133.628787615/38.28167124"
"133.45206871/38.275187445","133.461369705/38.275187445","133.4706707/38.275187445","133.479971695/38.275187445","133.48927269/38.275187445","133.498573685/38.275187445","133.50787468/38.275187445","133.517175675/38.275187445","133.52647667/38.275187445","133.535777665/38.275187445","133.54507866/38.275187445","133.554379655/38.275187445","133.56368065/38.275187445","133.572981645/38.275187445","133.58228264/38.275187445","133.591583635/38.275187445","133.60088463/38.275187445","133.610185625/38.275187445","133.61948662/38.275187445","133.628787615/38.275187445"
"133.45206871/38.26870307","133.461369705/38.26870307","133.4706707/38.26870307","133.479971695/38.26870307","133.48927269/38.26870307","133.498573685/38.26870307","133.50787468/38.26870307","133.517175675/38.26870307","133.52647667/38.26870307","133.535777665/38.26870307","133.54507866/38.26870307","133.554379655/38.26870307","133.56368065/38.26870307","133.572981645/38.26870307","133.58228264/38.26870307","133.591583635/38.26870307","133.60088463/38.26870307","133.610185625/38.26870307","133.61948662/38.26870307","133.628787615/38.26870307"
"133.45206871/38.26221812","133.461369705/38.26221812","133.4706707/38.26221812","133.479971695/38.26221812","133.48927269/38.26221812","133.498573685/38.26221812","133.50787468/38.26221812","133.517175675/38.26221812","133.52647667/38.26221812","133.535777665/38.26221812","133.54507866/38.26221812","133.554379655/38.26221812","133.56368065/38.26221812","133.572981645/38.26221812","133.58228264/38.26221812","133.591583635/38.26221812","133.60088463/38.26221812","133.610185625/38.26221812","133.61948662/38.26221812","133.628787615/38.26221812"
"133.45206871/38.25573259","133.461369705/38.25573259","133.4706707/38.25573259","133.479971695/38.25573259","133.48927269/38.25573259","133.498573685/38.25573259","133.50787468/38.25573259","133.517175675/38.25573259","133.52647667/38.25573259","133.535777665/38.25573259","133.54507866/38.25573259","133.554379655/38.25573259","133.56368065/38.25573259","133.572981645/38.25573259","133.58228264/38.25573259","133.591583635/38.25573259","133.60088463/38.25573259","133.610185625/38.25573259","133.61948662/38.25573259","133.628787615/38.25573259"
"133.45206871/38.24924648","133.461369705/38.24924648","133.4706707/38.24924648","133.479971695/38.24924648","133.48927269/38.24924648","133.498573685/38.24924648","133.50787468/38.24924648","133.517175675/38.24924648","133.52647667/38.24924648","133.535777665/38.24924648","133.54507866/38.24924648","133.554379655/38.24924648","133.56368065/38.24924648","133.572981645/38.24924648","133.58228264/38.24924648","133.591583635/38.24924648","133.60088463/38.24924648","133.610185625/38.24924648","133.61948662/38.24924648","133.628787615/38.24924648"
"133.45206871/38.24275979","133.461369705/38.24275979","133.4706707/38.24275979","133.479971695/38.24275979","133.48927269/38.24275979","133.498573685/38.24275979","133.50787468/38.24275979","133.517175675/38.24275979","133.52647667/38.24275979","133.535777665/38.24275979","133.54507866/38.24275979","133.554379655/38.24275979","133.56368065/38.24275979","133.572981645/38.24275979","133.58228264/38.24275979","133.591583635/38.24275979","133.60088463/38.24275979","133.610185625/38.24275979","133.61948662/38.24275979","133.628787615/38.24275979"
"133.45206871/38.23627252","133.461369705/38.23627252","133.4706707/38.23627252","133.479971695/38.23627252","133.48927269/38.23627252","133.498573685/38.23627252","133.50787468/38.23627252","133.517175675/38.23627252","133.52647667/38.23627252","133.535777665/38.23627252","133.54507866/38.23627252","133.554379655/38.23627252","133.56368065/38.23627252","133.572981645/38.23627252","133.58228264/38.23627252","133.591583635/38.23627252","133.60088463/38.23627252","133.610185625/38.23627252","133.61948662/38.23627252","133.628787615/38.23627252"
"133.45206871/38.229784675","133.461369705/38.229784675","133.4706707/38.229784675","133.479971695/38.229784675","133.48927269/38.229784675","133.498573685/38.229784675","133.50787468/38.229784675","133.517175675/38.229784675","133.52647667/38.229784675","133.535777665/38.229784675","133.54507866/38.229784675","133.554379655/38.229784675","133.56368065/38.229784675","133.572981645/38.229784675","133.58228264/38.229784675","133.591583635/38.229784675","133.60088463/38.229784675","133.610185625/38.229784675","133.61948662/38.229784675","133.628787615/38.229784675"
"133.45206871/38.22329625","133.461369705/38.22329625","133.4706707/38.22329625","133.479971695/38.22329625","133.48927269/38.22329625","133.498573685/38.22329625","133.50787468/38.22329625","133.517175675/38.22329625","133.52647667/38.22329625","133.535777665/38.22329625","133.54507866/38.22329625","133.554379655/38.22329625","133.56368065/38.22329625","133.572981645/38.22329625","133.58228264/38.22329625","133.591583635/38.22329625","133.60088463/38.22329625","133.610185625/38.22329625","133.61948662/38.22329625","133.628787615/38.22329625"
"133.45206871/38.216807245","133.461369705/38.216807245","133.4706707/38.216807245","133.479971695/38.216807245","133.48927269/38.216807245","133.498573685/38.216807245","133.50787468/38.216807245","133.517175675/38.216807245","133.52647667/38.216807245","133.535777665/38.216807245","133.54507866/38.216807245","133.554379655/38.216807245","133.56368065/38.216807245","133.572981645/38.216807245","133.58228264/38.216807245","133.591583635/38.216807245","133.60088463/38.216807245","133.610185625/38.216807245","133.61948662/38.216807245","133.628787615/38.216807245"
"133.45206871/38.21031766","133.461369705/38.21031766","133.4706707/38.21031766","133.479971695/38.21031766","133.48927269/38.21031766","133.498573685/38.21031766","133.50787468/38.21031766","133.517175675/38.21031766","133.52647667/38.21031766","133.535777665/38.21031766","133.54507866/38.21031766","133.554379655/38.21031766","133.56368065/38.21031766","133.572981645/38.21031766","133.58228264/38.21031766","133.591583635/38.21031766","133.60088463/38.21031766","133.610185625/38.21031766","133.61948662/38.21031766","133.628787615/38.21031766"
"133.45206871/38.203827495","133.461369705/38.203827495","133.4706707/38.203827495","133.479971695/38.203827495","133.48927269/38.203827495","133.498573685/38.203827495","133.50787468/38.203827495","133.517175675/38.203827495","133.52647667/38.203827495","133.535777665/38.203827495","133.54507866/38.203827495","133.554379655/38.203827495","133.56368065/38.203827495","133.572981645/38.203827495","133.58228264/38.203827495","133.591583635/38.203827495","133.60088463/38.203827495","133.610185625/38.203827495","133.61948662/38.203827495","133.628787615/38.203827495"
"133.45206871/38.197336755","133.461369705/38.197336755","133.4706707/38.197336755","133.479971695/38.197336755","133.48927269/38.197336755","133.498573685/38.197336755","133.50787468/38.197336755","133.517175675/38.197336755","133.52647667/38.197336755","133.535777665/38.197336755","133.54507866/38.197336755","133.554379655/38.197336755","133.56368065/38.197336755","133.572981645/38.197336755","133.58228264/38.197336755","133.591583635/38.197336755","133.60088463/38.197336755","133.610185625/38.197336755","133.61948662/38.197336755","133.628787615/38.197336755"
"133.45206871/38.190845435","133.461369705/38.190845435","133.4706707/38.190845435","133.479971695/38.190845435","133.48927269/38.190845435","133.498573685/38.190845435","133.50787468/38.190845435","133.517175675/38.190845435","133.52647667/38.190845435","133.535777665/38.190845435","133.54507866/38.190845435","133.554379655/38.190845435","133.56368065/38.190845435","133.572981645/38.190845435","133.58228264/38.190845435","133.591583635/38.190845435","133.60088463/38.190845435","133.610185625/38.190845435","133.61948662/38.190845435","133.628787615/38.190845435"
"133.45206871/38.18435354","133.461369705/38.18435354","133.4706707/38.18435354","133.479971695/38.18435354","133.48927269/38.18435354","133.498573685/38.18435354","133.50787468/38.18435354","133.517175675/38.18435354","133.52647667/38.18435354","133.535777665/38.18435354","133.54507866/38.18435354","133.554379655/38.18435354","133.56368065/38.18435354","133.572981645/38.18435354","133.58228264/38.18435354","133.591583635/38.18435354","133.60088463/38.18435354","133.610185625/38.18435354","133.61948662/38.18435354","133.628787615/38.18435354"
"133.45206871/38.177861065","133.461369705/38.177861065","133.4706707/38.177861065","133.479971695/38.177861065","133.48927269/38.177861065","133.498573685/38.177861065","133.50787468/38.177861065","133.517175675/38.177861065","133.52647667/38.177861065","133.535777665/38.177861065","133.54507866/38.177861065","133.554379655/38.177861065","133.56368065/38.177861065","133.572981645/38.177861065","133.58228264/38.177861065","133.591583635/38.177861065","133.60088463/38.177861065","133.610185625/38.177861065","133.61948662/38.177861065","133.628787615/38.177861065"
"133.45206871/38.17136801","133.461369705/38.17136801","133.4706707/38.17136801","133.479971695/38.17136801","133.48927269/38.17136801","133.498573685/38.17136801","133.50787468/38.17136801","133.517175675/38.17136801","133.52647667/38.17136801","133.535777665/38.17136801","133.54507866/38.17136801","133.554379655/38.17136801","133.56368065/38.17136801","133.572981645/38.17136801","133.58228264/38.17136801","133.591583635/38.17136801","133.60088463/38.17136801","133.610185625/38.17136801","133.61948662/38.17136801","133.628787615/38.17136801"
